::1 - - [02/May/2024:21:16:53 +0000] "POST /api/stocks/stock/in HTTP/1.1" 409 144 "-" "PostmanRuntime/7.37.3"
::1 - - [02/May/2024:21:23:31 +0000] "POST /api/stocks/stock/in HTTP/1.1" 409 144 "-" "PostmanRuntime/7.37.3"
::1 - - [02/May/2024:21:23:32 +0000] "POST /api/users/user/auth HTTP/1.1" 200 2116 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:23:36 +0000] "GET /assets/as_avatar/defaultavatar.png HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:24:07 +0000] "GET /api/coopeccategs/list?page=1 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:24:07 +0000] "GET /api/credits/list?page=1 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:24:07 +0000] "GET /api/provinces/list?page=1 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:24:07 +0000] "GET /api/territoires/list?page=1/ HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:24:07 +0000] "GET /api/users/list?page=1 HTTP/1.1" 200 10009 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:24:12 +0000] "GET /api/users/list?page=1 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:24:12 +0000] "GET /api/banks/list?page=1 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
::1 - - [02/May/2024:21:29:30 +0000] "POST /api/stocks/stock/in HTTP/1.1" 409 144 "-" "PostmanRuntime/7.37.3"
::1 - - [02/May/2024:21:29:44 +0000] "POST /api/users/user/auth HTTP/1.1" 200 2116 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [02/May/2024:21:29:46 +0000] "GET /assets/as_avatar/defaultavatar.png HTTP/1.1" 200 28686 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [02/May/2024:21:32:21 +0000] "GET /api/villages/list?page=1/ HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36 Edg/124.0.0.0"
